RUNTIME   CONSUMER                          DISTRIBUTION            SPEC           PROVIDER  RDEP  BUILT VER  STATUS
Common    symoneural-rich                   markdown-it-py          >=2.2.0        SYMONEURA y     y     ok   PASS
Common    symoneural-rich                   pygments                <3.0.0,>=2.13. SYMONEURA y     y     ok   PASS
Common    symoneural-starlette              anyio                   <5,>=3.6.2     SYMONEURA y     y     ok   PASS
Common    symoneural-sympy                  mpmath                  <1.4,>=1.1.0   SYMONEURA y     y     ok   PASS
Common    symoneural-tokenizers             huggingface-hub         <2.0,>=0.16.4  SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           huggingface-hub         <2.0,>=1.5.0   SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           numpy                   >=1.17         SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           packaging               >=20.0         SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           pyyaml                  >=5.1          SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           regex                   >=2025.10.22   SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           tokenizers              <0.24.0,>=0.23 SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           typer                   any            SYMONEURA y     y     ?    PASS
Common    symoneural-transformers           safetensors             >=0.8.0        SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           tqdm                    >=4.60         SYMONEURA y     y     ok   PASS
Common    symoneural-typer                  shellingham             >=1.3.0        SYMONEURA y     y     ok   PASS
Common    symoneural-typer                  rich                    >=13.8.0       SYMONEURA y     y     ok   PASS
Common    symoneural-typer                  annotated-doc           >=0.0.2        SYMONEURA y     y     ok   PASS
Common    symoneural-typing-inspection      typing-extensions       >=4.15.0       SYMONEURA y     y     ok   PASS
Common    symoneural-uvicorn                click                   >=7.0          SYMONEURA y     y     ok   PASS
Common    symoneural-uvicorn                h11                     >=0.8          SYMONEURA y     y     ok   PASS
Ravencalc symoneural-anyio                  idna                    >=2.8          SYMONEURA y     y     ok   PASS
Ravencalc symoneural-anyio                  typing-extensions       >=4.16.0       SYMONEURA y     y     ok   PASS
Ravencalc symoneural-api-python             fastapi                 >=0.115        SYMONEURA y     y     ok   PASS
Ravencalc symoneural-api-python             pydantic                >=2.11         SYMONEURA y     y     ok   PASS
Ravencalc symoneural-api-python             uvicorn                 >=0.30         SYMONEURA y     y     ok   PASS
Ravencalc symoneural-fastapi                starlette               >=0.46.0       SYMONEURA y     y     ok   PASS
Ravencalc symoneural-fastapi                pydantic                >=2.9.0        SYMONEURA y     y     ok   PASS
Ravencalc symoneural-fastapi                typing-extensions       >=4.8.0        SYMONEURA y     y     ok   PASS
Ravencalc symoneural-fastapi                typing-inspection       >=0.4.2        SYMONEURA y     y     ok   PASS
Ravencalc symoneural-fastapi                annotated-doc           >=0.0.2        SYMONEURA y     y     ok   PASS
Ravencalc symoneural-httpcore               certifi                 any            SYMONEURA y     y     ?    PASS
